Machine Module,SSA3021X Plus,3.2.2.6.2R10
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,OFF
Ref Level,+8.000000000E+00
Attenuation,28.000000,Auto
Sweep Time,351107.000000,Auto
Start Frequency,+0.000000000E+00
Stop Frequency,+1.000000000E+06
Average Type,Log Pwr
RBW,300.000000,Manual
VBW,300.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,53333.33333333,,,,,,,
Marker Ampt,-41.93824986,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A
Trace Type,Clear Write
Trace Detector,Pos Peak
Trace Data
0,2.63
1333,-64.47
2667,-56.81
4000,-53.72
5333,-54.05
6667,-48.42
8000,-48.11
9333,-51.57
10667,-51.17
12000,-45.87
13333,-46.65
14667,-46.73
16000,-44.44
17333,-48.91
18667,-50.45
20000,-53.69
21333,-49.93
22667,-49.06
24000,-50.57
25333,-51.20
26667,-49.20
28000,-45.72
29333,-46.99
30667,-54.21
32000,-48.13
33333,-50.36
34667,-44.84
36000,-44.45
37333,-52.78
38667,-50.39
40000,-52.94
41333,-49.65
42667,-50.77
44000,-47.51
45333,-49.01
46667,-50.10
48000,-50.28
49333,-51.59
50667,-50.51
52000,-42.70
53333,-41.94
54667,-48.67
56000,-47.16
57333,-44.87
58667,-48.99
60000,-47.69
61333,-49.39
62667,-49.70
64000,-47.99
65333,-47.55
66667,-46.03
68000,-46.70
69333,-49.54
70667,-49.11
72000,-50.24
73333,-45.08
74667,-45.83
76000,-47.60
77333,-49.44
78667,-47.61
80000,-49.84
81333,-52.15
82667,-47.43
84000,-48.03
85333,-48.81
86667,-47.79
